scientific_name,common_name,family,habitat,edibility,description,notes
Agaricus bisporus,Organic Dried Champignon Mushrooms,Agaricus,Country of origin: Multiple Given; Product type: Food,unknown,Brand: FungusAmongUs; Manufacturer/Distributor: FungusAmongUs; Preservation method: Dried,"China, Serbia, South America, and USA; GenBank#: PV501041; DNA sequencing status: Successful; Note: product contains multiple species"
Agaricus sp.,Mushroom,Agaricus,Product type: Food,unknown,"Brand: Herbal Doctor; Manufacturer/Distributor: Murray International Trading Co, Inc.; Preservation method: Dried",DNA sequencing FAILED: Failed
Wolfiporia sp.,Indian Bread,Wolfiporia,Product type: Medicinal/Tea,unknown,Brand: East Dragon; Manufacturer/Distributor: Rong Shing Trading Company NY Inc; Preservation method: Dried,DNA sequencing FAILED: Failed
Ganoderma sp.,Organic Reishi Fruiting Body and Mycelia,Ganoderma,Product type: Medicinal/Tea,unknown,Brand: Lucky's Market; Preservation method: Dried,DNA sequencing FAILED: Failed
Trametes sp.,Turkey Tail,Trametes,Product type: Medicinal/Tea,unknown,Brand: Lucky's Market; Manufacturer/Distributor: Lucky's Market; Preservation method: Dried,DNA sequencing FAILED: Failed
Cordyceps sp.,Cordyceps,Cordyceps,Product type: Medicinal/Tea,unknown,Brand: Lucky's Market; Manufacturer/Distributor: Lucky's Market; Preservation method: Dried,DNA sequencing FAILED: Failed
Agaricus bisporus,Portobello,Agaricus,Country of origin: France; Product type: Food,unknown,"Brand: Melissa's; Manufacturer/Distributor: World Variety Produce, Inc.; Preservation method: Dried",GenBank#: PV501057; DNA sequencing status: Successful; Note: product contains multiple species
Inonotus sp.,Chaga,Inonotus,Product type: Medicinal/Tea,unknown,Brand: Lucky's Market; Manufacturer/Distributor: Lucky's Market; Preservation method: Dried,DNA sequencing FAILED: Failed
Tuber sp.,"Dried Truffle, Truffle",Tuber,Product type: Food,unknown,Brand: Lucky's Market; Manufacturer/Distributor: Lucky's Market; Preservation method: Dried,DNA sequencing FAILED: Failed
Suillus sp.,Slippery Jack Mushrooms,Suillus,Product type: Food,unknown,Brand: Forest Treasures; Manufacturer/Distributor: PHZ KASOL J.A. Kazberuk; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed; Note: product contains multiple species
Cantharellus cibarius,Yellow Chanterelle Mushroom,Cantharellus,Product type: Food,unknown,Brand: Forest Treasures; Manufacturer/Distributor: PHZ KASOL J.A. Kazberuk; Preservation method: Canned/Pickled/Brined,DNA sequencing FAILED: Failed; Note: product contains multiple species
