,Month,Plate,Strip Number,Tube Number,,,Sample Location,iNaturalist Number,Validated By,Seq. Status,URL,Submitted By,Identification,Identification Per FDA Label,Binomial,Name of Product,Brand,First Pass ID,Manufacturer/Distributor,Country of Origin,1-tier administrative district,Barcode,Lot/Batch,Preservation Method,Product Type,Fungal Only/Mostly,Multiple species?,Homogenized?,Comments,GenBank#
2024,03,2,23,8,H,11,2024_23_8,202232219,Garrett,Successful,https://www.inaturalist.org/observations/202232219,hills47448,Agaricus bisporus,Organic Dried Champignon Mushrooms,Not Provided,Mushroom Medley,FungusAmongUs,Agaricus,FungusAmongUs,Multiple Given,Not Provided,Unknown,Unknown,Dried,Food,Y,Y,N,"China, Serbia, South America, and USA",PV501041
2024,03,1,11,2,B,11,2024_11_2,200470717,Andrew,Failed,https://www.inaturalist.org/observations/200470717,aldendirks,,Mushroom,Not Provided,Mushroom,Herbal Doctor,Agaricus,"Murray International Trading Co, Inc.",Not Provided,Not Provided,767533208913,Unknown,Dried,Food,Y,N,N,,
2024,03,1,11,1,A,11,2024_11_1,200481591,Andrew,Failed,https://www.inaturalist.org/observations/200481591,aldendirks,,Indian Bread,Not Provided,Indian Bread,East Dragon,Wolfiporia,Rong Shing Trading Company NY Inc,Not Provided,Not Provided,489705579316,Unknown,Dried,Medicinal/Tea,Y,N,N,,
2024,03,2,13,2,B,01,2024_13_2,201931864,Jessica,Failed,https://www.inaturalist.org/observations/201931864,verpahh,,Organic Reishi Fruiting Body and Mycelia,Not Provided,Reishi,Lucky's Market,Ganoderma,Unknown,Unknown,Not Provided,Unknown,Unknown,Dried,Medicinal/Tea,Y,N,Y,,
2024,03,2,16,2,B,04,2024_16_2,201933645,Kevin,Failed,https://www.inaturalist.org/observations/201933645,verpahh,,Turkey Tail,Not Provided,Turkey Tail,Lucky's Market,Trametes,Lucky's Market,Unknown,Not Provided,Unknown,Unknown,Dried,Medicinal/Tea,Y,N,Y,,
2024,03,2,16,1,A,04,2024_16_1,201934347,Kevin,Failed,https://www.inaturalist.org/observations/201934347,verpahh,,Cordyceps,Not Provided,Cordyceps,Lucky's Market,Cordyceps,Lucky's Market,Unknown,Not Provided,Unknown,Unknown,Dried,Medicinal/Tea,Y,N,Y,,
2024,03,3,27,8,H,03,2024_27_8,202559443,Jessica,Successful,https://www.inaturalist.org/observations/202559443,lothlin,Agaricus bisporus,Portobello,Not Provided,Mushroom Medley,Melissa's,Agaricus,"World Variety Produce, Inc.",France,Not Provided,045255152098,Unknown,Dried,Food,Y,Y,N,,PV501057
2024,03,2,15,7,G,03,2024_15_7,201938393,Kevin,Failed,https://www.inaturalist.org/observations/201938393,verpahh,,Chaga,Not Provided,Chaga,Lucky's Market,Inonotus,Lucky's Market,Unknown,Not Provided,Unknown,Unknown,Dried,Medicinal/Tea,Y,N,Y,,
2024,03,2,15,6,F,03,2024_15_6,201939062,Kevin,Failed,https://www.inaturalist.org/observations/201939062,verpahh,,"Dried Truffle, Truffle",Not Provided,Black Truffle Sea Salt,Lucky's Market,Tuber,Lucky's Market,Unknown,Not Provided,Unknown,Unknown,Dried,Food,N,N,Y,,
2024,03,1,11,7,G,11,2024_11_7,201952827,John Plischke,Failed,https://www.inaturalist.org/observations/201952827,dawnwehman,,Slippery Jack Mushrooms,Not Provided,Pickled Spicy Mix Mushrooms,Forest Treasures,Suillus,PHZ KASOL J.A. Kazberuk,Not Provided,Not Provided,5905643071392,359/23,Canned/Pickled/Brined,Food,Y,Y,N,,
2024,03,C,C2,1,,,03_C2_1,201953292,Garrett,Failed,https://www.inaturalist.org/observations/201953292,dawnwehman,,Yellow Chanterelle Mushroom,Cantharellus cibarius,Pickled Spicy Mix Mushrooms,Forest Treasures,Cantharellus,PHZ KASOL J.A. Kazberuk,Not Provided,Not Provided,5905643071392,359/23,Canned/Pickled/Brined,Food,Y,Y,N,,
2024,03,1,11,6,F,11,2024_11_6,201953731,John Plischke,Failed,https://www.inaturalist.org/observations/201953731,dawnwehman,,Boletus edulis,Boletus edulis,Pickled Spicy Mix Mushrooms,Forest Treasures,Bolete,PHZ KASOL J.A. Kazberuk,Not Provided,Not Provided,5905643071392,359/23,Canned/Pickled/Brined,Food,Y,Y,N,,
2024,03,1,07,8,H,07,2024_07_8,202127509,John Plischke,Successful,https://www.inaturalist.org/observations/202127509,johnplischke,Cyclocybe chaxingu,Dried Mushroom,Agrocybe aegerita,Dried Mushroom,Shan Nan Hai Bei,Cyclocybe,"Chengdu Yueyuehon Industry Co. Ltd., Splendid World Corp",China,Not Provided,6926249306342,GB/T 37749,Dried,Food,Y,N,N,,PV501019
2024,03,1,12,1,A,12,2024_12_1,201961912,John Plischke,Failed,https://www.inaturalist.org/observations/201961912,dawnwehman,,Porchini Mushrooms,Not Provided,Mixed Wild Mushrooms,Roland,Bolete,"Roland Foods, LLC",Multiple Given,Not Provided,041224448506,Unknown,Dried,Food,Y,Y,N,"China, Bulgaria, Montenagro, Serbia, Russia, Hungary, Macedonia, Chile, Peru",
2024,03,1,12,2,B,12,2024_12_2,201962023,John Plischke,Failed,https://www.inaturalist.org/observations/201962023,dawnwehman,,Oyster Mushrooms,Not Provided,Mixed Wild Mushrooms,Roland,Pleurotus,"Roland Foods, LLC",Multiple Given,Not Provided,041224448506,Unknown,Dried,Food,Y,Y,N,"China, Bulgaria, Montenagro, Serbia, Russia, Hungary, Macedonia, Chile, Peru",
2024,03,2,13,1,A,01,2024_13_1,201962299,John Plischke,Failed,https://www.inaturalist.org/observations/201962299,dawnwehman,,Black Fungus,Not Provided,Mixed Wild Mushrooms,Roland,Auricularia,"Roland Foods, LLC",Multiple Given,Not Provided,041224448506,Unknown,Dried,Food,Y,Y,N,"China, Bulgaria, Montenagro, Serbia, Russia, Hungary, Macedonia, Chile, Peru",
2024,03,1,12,3,C,12,2024_12_3,201964373,John Plischke,Failed,https://www.inaturalist.org/observations/201964373,dawnwehman,,Dried Black Fungus,Auricularia auricula,Dried Black Fungus,Japan Oata,Auricularia,Japan Oata,China,Not Provided,891350001416,Unknown,Dried,Food,Y,N,N,,
